date,1. open,2. high,3. low,4. close,5. volume,Thomson Reuters,1. open,2. high,3. low,4. close,5. volume,Facebook,1. open,2. high,3. low,4. close,5. volume,Apple,1. open,2. high,3. low,4. close,5. volume,Amazon,1. open,2. high,3. low,4. close,5. volume,Netflix,1. open,2. high,3. low,4. close,5. volume,GM,1. open,2. high,3. low,4. close,5. volume,Starbucks,1. open,2. high,3. low,4. close,5. volume,Nike,1. open,2. high,3. low,4. close,5. volume,Boeing,1. open,2. high,3. low,4. close,5. volume,McDonalds
2020-04-02,66.3000,67.9700,63.6900,66.7300,2061804,,161.6150,164.1500,155.9200,158.1900,40214597,,246.5000,248.7200,236.9000,244.9300,84952151,,1932.9700,1944.9600,1890.0000,1918.8300,8405255,,376.0500,380.2330,360.0600,370.0800,11209605,,19.5000,20.1650,17.7900,18.1900,35332382,,63.0000,68.7000,61.5800,65.0000,31003893,,79.4900,81.6000,77.1600,80.1400,22500827,,138.9100,144.3800,120.0204,123.2700,83610531,,160.2200,161.9500,155.0000,161.5000,9447379,
2020-03-31,74.6700,78.3700,52.2300,67.8600,22499419,,194.0300,197.2400,137.1006,166.8000,649513169,,282.2800,304.0000,212.6100,254.2900,1570331732,,1906.4900,1996.3300,1626.0300,1949.7200,163796017,,373.1100,393.5200,290.2500,375.5000,201974491,,30.5200,32.3000,14.3250,20.7800,492383072,,77.9100,82.6150,50.0200,65.7400,445395702,,89.6000,94.9800,60.0000,82.7400,344327432,,279.5400,297.4400,89.0000,149.1400,740420836,,193.8100,207.1600,124.2300,165.3500,179562236,
2020-02-28,80.6500,82.5000,73.2600,74.4800,10137767,,203.4400,218.7650,181.8200,192.4700,317634511,,304.3000,327.2200,256.3700,273.3600,755223231,,2010.6000,2185.9500,1811.1300,1883.7500,92555977,,347.2400,392.9500,346.2800,369.0300,114109315,,33.5600,35.7900,29.3300,30.5000,246552900,,85.0700,90.5050,75.7200,78.4300,167227713,,99.0000,103.8900,85.1500,89.3800,138894285,,318.7500,349.9500,269.6000,275.1100,118160866,,214.9900,218.3850,188.8100,194.1700,69338416,
2020-01-31,71.6100,81.3000,71.5600,80.3400,10444952,,206.7500,224.2000,201.0600,201.9100,347787838,,296.2400,327.8500,292.7500,309.5100,734044103,,1875.0000,2055.7200,1815.3400,2008.7200,84743300,,326.1000,359.8500,321.2000,345.0900,168074372,,37.0000,37.3800,32.9700,33.3900,206944754,,88.1200,94.1300,84.5200,84.8300,170362678,,101.3600,105.6200,95.9200,96.3000,122236602,,328.5500,344.1900,302.7200,318.2700,181420957,,198.0000,217.1000,197.8100,213.9700,77285848,
2019-12-31,70.0900,73.2200,69.2300,71.6000,7266634,,202.1300,208.9300,193.1700,205.2500,278225688,,267.2700,293.9700,256.2900,293.6500,598871365,,1804.4000,1901.4000,1735.0000,1847.8400,68522009,,314.3900,338.0000,292.0200,323.5700,125111575,,36.0100,37.6200,34.9600,36.6000,170930979,,85.3800,89.3000,83.8200,87.9200,132610092,,94.0900,101.7900,91.3100,101.3100,130517657,,367.0800,367.3800,320.6100,325.7600,127542660,,195.3800,199.0000,192.3500,197.6100,60775605,
2019-11-29,67.5800,72.5500,66.3100,70.5500,8584739,,192.8500,203.8000,188.5400,201.6400,258577372,,249.5400,268.0000,249.1600,267.2500,448922253,,1788.0100,1824.6900,1722.7100,1800.8000,52060472,,288.7000,316.8200,281.1400,314.6600,113765792,,37.2100,38.9550,34.5900,36.0000,191370123,,84.7900,86.7300,81.0301,85.4300,138850644,,90.1800,95.1200,88.7400,93.4900,109125681,,340.5900,375.6026,339.5000,366.1800,86721209,,197.7800,197.9700,187.5500,194.4800,92616114,
2019-10-31,67.0600,67.9800,65.0900,67.2600,7511034,,179.1500,198.0900,173.0900,191.6500,329115789,,225.0700,249.7500,215.1320,248.7600,621478768,,1746.0000,1798.8500,1685.0600,1776.6600,71821008,,267.3500,308.7500,257.0100,287.4100,234943732,,37.4700,38.7000,33.7100,37.1600,215817107,,88.6300,88.8940,82.1262,84.5600,139146184,,94.1300,96.8700,88.9400,89.5500,156412293,,381.7000,382.8500,324.4000,339.9100,112639121,,211.1300,213.4700,191.5000,196.7000,100716056,
2019-09-30,68.3700,71.2800,65.8100,66.8800,10094141,,184.0000,193.1000,175.6600,178.0800,267509200,,206.4300,226.4200,204.2200,223.9700,547408488,,1770.0000,1853.6600,1709.2200,1735.9100,62003799,,290.8200,301.5500,252.2800,267.6200,176233042,,36.8900,39.7750,36.4400,37.4800,173228888,,96.4200,97.2100,87.6100,88.4200,136443480,,84.0000,94.0800,83.6200,93.9200,135790982,,354.1100,391.0000,350.6050,380.4700,79302340,,217.9300,220.8400,207.3300,214.7100,64783362,
2019-08-30,68.2800,69.5100,64.4900,68.6800,11486109,,194.1700,198.4700,176.6600,185.6700,295147285,,213.9000,218.0300,192.5800,208.7400,683515746,,1871.7200,1897.9200,1743.5100,1776.2900,79978762,,324.2500,328.5800,287.1968,293.7500,137336106,,41.2600,41.9000,35.5800,37.0900,150639210,,95.0000,98.1400,93.0300,96.5600,142257551,,85.2600,86.7700,78.1850,84.5000,140453611,,341.9100,369.6900,319.5500,364.0900,95766842,,211.1800,221.9300,209.4250,217.9700,63755907,
2019-07-31,64.7300,70.9300,64.3700,67.1700,10718937,,195.2100,208.6600,191.9300,194.2300,351062381,,203.1700,221.3700,198.4100,213.0400,473957094,,1922.9800,2035.8000,1849.4400,1866.7800,73190780,,373.5000,384.7600,305.8100,322.9900,196691550,,38.9300,41.0000,37.5750,40.3400,150790123,,84.6200,99.7200,84.0300,94.6900,166023385,,84.9300,89.8700,84.2200,86.0300,117817101,,364.8800,382.4800,336.5600,341.1800,104192604,,208.8600,218.9599,206.1900,210.7200,58778261,
